child_id,grade,subject,chapter,num_quizzes,profile,quiz_id,nb_questions,start_time,end_time,time_spent,attempts_count,prev_final_score,final_score,completed,failed,abandoned,correct_count,wrong_count,hint_count,q1_correct,q1_wrong_attempts,q1_hint,q2_correct,q2_wrong_attempts,q2_hint,q3_correct,q3_wrong_attempts,q3_hint,q4_correct,q4_wrong_attempts,q4_hint,q5_correct,q5_wrong_attempts,q5_hint,q6_correct,q6_wrong_attempts,q6_hint,q7_correct,q7_wrong_attempts,q7_hint,q8_correct,q8_wrong_attempts,q8_hint
child_001,2,Math,Addition,20,strong,Add_01,5,2025-07-29 05:44:52.917082,2025-07-29 05:47:31.917082,159.0,1,,0.89,1,0,0,5,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_002,2,Math,Addition,20,strong,Add_01,5,2025-05-10 14:55:52.918326,2025-05-10 14:58:29.918326,157.0,1,,0.89,1,0,0,5,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,,,,,,,,,
child_003,2,Math,Addition,20,strong,Add_01,5,2025-06-19 00:34:52.919096,2025-06-19 00:38:51.919096,239.0,1,,0.8,1,0,0,5,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,,,,,,,,,
child_004,2,Math,Addition,20,strong,Add_01,5,2025-06-25 09:05:52.919686,2025-06-25 09:08:15.919686,143.0,1,,0.99,1,0,0,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_005,2,Math,Addition,20,strong,Add_01,5,2025-06-16 02:52:52.920293,2025-06-16 02:56:38.920293,226.0,1,,0.98,1,0,0,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_006,2,Math,Addition,20,average,Add_01,5,2025-05-12 14:43:52.920896,2025-05-12 14:50:27.920896,395.0,1,,0.24,0,1,0,2,3,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,
child_006,2,Math,Addition,20,average,Add_01,5,2025-06-11 05:33:52.921675,2025-06-11 05:36:25.921675,153.0,2,0.24,0.83,1,0,0,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_007,2,Math,Addition,20,average,Add_01,5,2025-06-08 09:52:52.922747,2025-06-08 09:55:29.922747,157.0,1,,0.8,1,0,0,5,0,2,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_008,2,Math,Addition,20,average,Add_01,5,2025-06-13 10:07:52.923478,2025-06-13 10:12:36.923478,284.0,1,,0.85,1,0,0,5,2,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,,,,,,,,,
child_009,2,Math,Addition,20,weak,Add_01,5,2025-06-07 02:58:52.924321,2025-06-07 02:59:38.924321,46.0,1,,0.12,0,1,0,1,3,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
child_009,2,Math,Addition,20,weak,Add_01,5,2025-07-19 07:22:52.924825,2025-07-19 07:29:04.924825,372.0,2,0.12,0.49,0,1,0,4,3,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,,,,,,,,,
child_009,2,Math,Addition,20,weak,Add_01,5,2025-06-23 04:32:52.925458,2025-06-23 04:35:40.925458,168.0,3,0.49,0.36,0,1,0,3,3,2,1,0,1,1,2,0,1,0,1,0,1,0,0,0,0,,,,,,,,,
